labels
statement_id,property_alias,statement_date,period_start,period_end,rent,management_fee,repair,deposit,misc,note,total,pay_date
212,Bedford,8/6/2021,7/20/2021,8/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,8/7/2021
250,Bedford,9/2/2021,8/20/2021,9/19/2021,400.0,40.0,66.0,0.0,0.0,#NAME?,,
299,Bedford,10/4/2021,9/20/2021,10/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,10/4/2021
346,Bedford,11/2/2021,10/20/2021,11/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,11/2/2021
388,Bedford,12/3/2021,11/20/2021,12/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,12/3/2021
440,Bedford,1/5/2022,12/20/2021,1/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,1/5/2021
1386,Bedford,2/2/2022,1/20/2022,2/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,2/8/2022
1419,Bedford,3/2/2022,2/20/2022,3/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,3/2/2022
1467,Bedford,4/4/2022,3/20/2022,4/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,4/4/2022
1504,Bedford,5/4/2022,4/20/2022,5/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,5/4/2022
1537,Bedford,6/6/2022,5/22/2022,6/19/2022,400.0,40.0,0.0,0.0,50.0,PAT,310.0,6/6/2022
1566,Bedford,7/4/2022,6/20/2022,7/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,7/4/2022
1595,Bedford,8/4/2022,7/20/2022,8/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,8/4/2022
1630,Bedford,9/2/2022,8/20/2022,9/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,9/2/2022
1668,Bedford,10/4/2022,9/20/2022,10/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,10/4/2022
1704,Bedford,11/2/2022,10/20/2022,11/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,11/2/2022
1739,Bedford,12/5/2022,11/20/2022,12/19/2022,400.0,40.0,0.0,0.0,0.0,,360.0,12/6/2022
1760,Bedford,1/4/2023,12/20/2022,1/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,1/4/2023
1786,Bedford,2/2/2023,1/20/2023,2/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,2/2/2023
1826,Bedford,3/2/2023,2/20/2023,3/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,3/2/2023
2836,Bedford,4/4/2023,3/20/2023,4/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,4/4/2023
2876,Bedford,5/4/2023,4/20/2023,5/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,5/4/2023
3893,Bedford,5/26/2023,5/20/2023,6/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,5/26/2023
3921,Bedford,6/21/2023,6/20/2023,7/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,6/21/2023
4919,Bedford,6/21/2023,6/20/2023,7/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,6/21/2023
4955,Bedford,7/25/2023,7/20/2023,8/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,7/25/2023
4988,Bedford,8/22/2023,8/20/2023,9/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,8/22/2023
5034,Bedford,9/21/2023,9/20/2023,10/19/2023,400.0,40.0,193.0,0.0,0.0,,167.0,9/21/2023
5065,Bedford,10/24/2023,10/20/2023,11/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,10/24/2023
6044,Bedford,11/21/2023,11/20/2023,12/19/2023,400.0,40.0,0.0,0.0,0.0,,360.0,11/21/2023
7083,Bedford,12/22/2023,12/20/2023,1/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,12/22/2023
8079,Bedford,1/23/2024,1/20/2024,2/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,1/23/2024
8111,Bedford,2/23/2024,2/20/2024,3/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,2/23/2024
9124,Bedford,3/21/2024,3/20/2024,4/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,3/21/2024
9153,Bedford,4/23/2024,4/20/2024,5/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,4/23/2024
9180,Bedford,5/28/2024,5/20/2024,6/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,5/28/2024
9205,Bedford,6/25/2024,6/20/2024,7/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,6/25/2024
9223,Bedford,7/24/2024,7/20/2024,8/19/2024,400.0,40.0,240.0,0.0,0.0,,120.0,7/24/2024
9264,Bedford,8/21/2024,8/20/2024,9/19/2024,400.0,40.0,60.0,0.0,0.0,Uplift and disposal,,
9291,Bedford,9/23/2024,9/20/2024,10/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,9/23/2024
9315,Bedford,10/22/2024,10/20/2024,11/19/2024,400.0,40.0,0.0,0.0,0.0,,360.0,10/22/2024
9344,Bedford,11/21/2024,11/20/2024,12/19/2024,400.0,40.0,143.0,0.0,0.0,certs,217.0,11/21/2024
9357,Bedford,11/21/2024,11/20/2024,12/19/2024,400.0,40.0,143.0,0.0,0.0,Annual gas safety; Annual legionella,217.0,11/21/2024
9382,Bedford,12/24/2024,12/20/2024,1/19/2024,400.0,40.0,0.0,0.0,0.0,***,360.0,12/24/2024
9412,Bedford,1/21/2025,1/20/2025,2/19/2025,400.0,40.0,0.0,0.0,0.0,,360.0,1/21/2025
10402,Bedford,2/25/2025,2/2/2025,3/19/2025,400.0,40.0,102.0,0.0,0.0,,258.0,2/25/2025
11414,Bedford,3/25/2025,3/20/2025,4/19/2025,400.0,40.0,0.0,0.0,0.0,,360.0,3/25/2025
12416,Bedford,4/24/2025,4/20/2025,5/19/2025,400.0,40.0,0.0,0.0,0.0,,360.0,4/24/2025
12438,Bedford,5/22/2025,5/20/2025,6/19/2025,400.0,40.0,0.0,0.0,0.0,,360.0,5/22/2025
12461,Bedford,6/24/2025,6/20/2025,7/19/2025,400.0,40.0,0.0,0.0,0.0,,360.0,6/24/2025
12482,Bedford,7/22/2025,7/20/2025,8/19/2025,400.0,40.0,0.0,0.0,0.0,,360.0,7/22/2025
12483,Arranview,6/19/2023,7/15/2023,8/14/2023,525.0,52.5,0.0,0.0,0.0,,472.5,6/19/2023
12484,Arranview,8/19/2025,8/15/2025,9/14/2025,525.0,52.5,0.0,0.0,0.0,,472.5,8/19/2025
12485,Bedford,11/6/2020,10/5/20,6/11/20,400.0,40.0,0.0,0.0,215,14/10/2020 Energy Performance Certificate                                             £65.00            £0.00                      £ 65.00; 28/10/2020 Electrical Inspection Condition Report and PAT   ; total_mismatch expected=-70.0 got=65.0,145,11/6/2020
12486,Bedford,1/5/2021,12/2/20,1/5/21,400.0,40.0,0.0,0.0,0.0,,360.0,1/5/2021
12487,Bedford,2/1/2021,1/5/21,2/1/21,400.0,40.0,190.0,0.0,95,12/01/2021 Gas Safety Certificate & CO Alarm                                          £95.00            £0.00                     £ 95.00; 12/01/2021 Gas Safety Certificate & CO Alarm                 ; total_mismatch expected=-20.0 got=95.0,265,2/1/2021
12488,Bedford,4/2/2021,3/20/2021,4/2/21,400.0,40.0,0.0,0.0,0.0,,360.0,4/2/2021
12489,Bedford,8/7/2021,7/20/2021,8/19/2021,400.0,40.0,0.0,0.0,0.0,,360.0,8/7/2021
12490,Bedford,11/26/2024,11/19/2024,12/18/2024,350.0,35.0,0.0,0.0,0.0,,315.0,11/26/2024
12491,Bedford,8/21/2025,8/20/2025,9/19/2025,400.0,40.0,0.0,0.0,0.0,,360.0,8/21/2025
12492,97B Dempster,4/22/2022,,,991.67,0.0,281.67,350,360,VAT INVOICES; Safe Deposit          Safe Deposit Scotland - Deposit                                       350.00       0.00     350.00,360.0,4/22/2022
